markerIndex p.value p.value.NA Is.converge varT varTstar N AC AF
2551 0.355931527681284 0.355931527681284 1 0.0707693583727917 0.075109589853388 1000 55 0.0275
677 0.152937472689362 0.152937472689362 1 0.0470225363994834 0.0498692309948943 1000 770 0.385
7776 0.850040536950287 0.850040536950287 1 0.0415385470449419 0.0442966166880296 1000 919 0.4595
4664 0.96132505669615 0.96132505669615 1 0.0620105410272863 0.0650584394570083 1000 27 0.0135
499 0.211705767934924 0.211705767934924 1 0.0642410803798264 0.0679450017851344 1000 286 0.143
7933 0.201314435577054 0.201314435577054 1 0.0789801547750952 0.0842950757911222 1000 27 0.0135
4879 0.047482094565466 0.047482094565466 1 0.0738273314484008 0.0785348403738861 1000 83 0.0415
7063 0.824950624673825 0.824950624673825 1 0.0722935965508387 0.0767631370550623 1000 92 0.046
6667 0.886325881262212 0.886325881262212 1 0.0902509535965869 0.096902489202526 1000 35 0.0175
4906 0.439209296916644 0.439209296916644 1 0.0671514949143996 0.070757280392709 1000 34 0.017
615 0.851296788591246 0.851296788591246 1 0.0451144160170212 0.0481380660017494 1000 833 0.4165
5737 0.576894793199881 0.576894793199881 1 0.0645503212993938 0.0682595727308162 1000 49 0.0245
5800 0.410925000080916 0.410925000080916 1 0.0513595955591004 0.0543713129120031 1000 639 0.3195
4712 0.0416342329677014 0.0447680645272474 1 0.0898591072439014 0.0959670003482493 1000 38 0.019
3915 0.415348343042509 0.415348343042509 1 0.0438171110019597 0.0464960810465894 1000 842 0.421
9233 0.732261716516959 0.732261716516959 1 0.0878243111625788 0.0946283242185853 1000 30 0.015
148 0.385122327074338 0.385122327074338 1 0.0749869639555227 0.0794487631020432 1000 36 0.018
8800 0.192794833540089 0.192794833540089 1 0.0504351888066825 0.0536655213997504 1000 689 0.3445
3066 0.190179786296001 0.190179786296001 1 0.0688919889545795 0.07400424831614 1000 42 0.021
5810 0.28722668366311 0.28722668366311 1 0.0666479882782565 0.0705972859811542 1000 73 0.0365
1326 0.0839314814273064 0.0839314814273064 1 0.0702572596807431 0.0742880751281459 1000 47 0.0235
1955 0.839428447329551 0.839428447329551 1 0.0697011588694896 0.0733768330567336 1000 31 0.0155
4572 0.328001827168689 0.328001827168689 1 0.071805191352843 0.0765556968142484 1000 146 0.073
6184 0.376261177639269 0.376261177639269 1 0.0743017434948293 0.0789158509412364 1000 238 0.119
3112 0.950362776175588 0.950362776175588 1 0.0653969246487791 0.0687960824260329 1000 75 0.0375
7042 0.138492076849021 0.138492076849021 1 0.0643655012389259 0.0673719186971696 1000 23 0.0115
4660 0.82568921517318 0.82568921517318 1 0.0557153082688719 0.0592424231754163 1000 528 0.264
2883 0.391807095857258 0.391807095857258 1 0.0643533289614474 0.0679130977353748 1000 99 0.0495
1593 0.140748663667189 0.140748663667189 1 0.0769417230456997 0.0821458521946634 1000 80 0.04
2923 0.611557086123242 0.611557086123242 1 0.0888009830987001 0.0956963321308459 1000 85 0.0425
